  K    WAVELN    NEFF       GEOM ALB   BOND/QFIT  BOND/GEOM  Q-FITTED
 213  0.4640330    0.1024960    0.7644746    0.5293994    1.2853781    1.8561392
 214  0.4646510    0.1029946    0.7645805    0.5295654    1.2851859    1.8555367
 215  0.4652690    0.1032762    0.7646329    0.5296969    1.2850001    1.8549352
 216  0.4658890    0.1032762    0.7647077    0.5298443    1.2848145    1.8543327
 217  0.4665090    0.1036869    0.7648372    0.5300294    1.2846292    1.8537313
 218  0.4671300    0.1041879    0.7649944    0.5302317    1.2844386    1.8531299
 219  0.4677520    0.1046898    0.7651112    0.5304107    1.2842591    1.8525286
 220  0.4683740    0.1051916    0.7652594    0.5306064    1.2840678    1.8519283
 221  0.4689980    0.1056951    0.7652411    0.5307105    1.2839335    1.8513271
 222  0.4696220    0.1061986    0.7643994    0.5303544    1.2840685    1.8507269
 223  0.4702470    0.1065036    0.7654409    0.5310405    1.2835638    1.8501268
 224  0.4708730    0.1065036    0.7657065    0.5313017    1.2833333    1.8495268
 225  0.4715000    0.1069070    0.7657369    0.5314274    1.2831698    1.8489268
 226  0.4721280    0.1075170    0.7655364    0.5314247    1.2830828    1.8483269
 227  0.4727560    0.1085304    0.7659220    0.5317505    1.2828072    1.8477281
 228  0.4733860    0.1089241    0.7651685    0.5314416    1.2829082    1.8471283
 229  0.4740160    0.1089499    0.7662975    0.5321827    1.2823886    1.8465296
 230  0.4746470    0.1099682    0.7664562    0.5323767    1.2821747    1.8459310
 231  0.4752790    0.1105378    0.7665156    0.5325154    1.2819935    1.8453325
 232  0.4759110    0.1105378    0.7666123    0.5326765    1.2818043    1.8447350
 233  0.4765450    0.1109775    0.7666336    0.5327928    1.2816327    1.8441367
 234  0.4771790    0.1116335    0.7665617    0.5328528    1.2814822    1.8435394
 235  0.4778140    0.1126582    0.7666213    0.5329817    1.2812772    1.8429422
 236  0.4784500    0.1129583    0.7665856    0.5330595    1.2811089    1.8423451
 237  0.4790870    0.1130285    0.7664322    0.5330613    1.2809542    1.8417481
 238  0.4797250    0.1135433    0.7662161    0.5330187    1.2807978    1.8411512
 239  0.4803640    0.1137652    0.7659416    0.5329426    1.2806589    1.8405544
 240  0.4810030    0.1137700    0.7657282    0.5329019    1.2805033    1.8399586
 241  0.4816430    0.1148028    0.7654161    0.5327992    1.2803639    1.8393630
 242  0.4822850    0.1153789    0.7651480    0.5327300    1.2802308    1.8387666
 243  0.4829270    0.1153789    0.7650485    0.5327647    1.2800661    1.8381712
 244  0.4835690    0.1158380    0.7643189    0.5324251    1.2800573    1.8375768
 245  0.4842130    0.1163576    0.7630327    0.5316535    1.2799423    1.8369817
 246  0.4848580    0.1168780    0.7593062    0.5293069    1.2801320    1.8363867
 247  0.4855030    0.1169926    0.7562755    0.5275346    1.2805441    1.8357927
 248  0.4861490    0.1169926    0.7581618    0.5287460    1.2798773    1.8351988
 249  0.4867970    0.1169926    0.7605919    0.5306511    1.2799699    1.8346042
 250  0.4874450    0.1177106    0.7653510    0.5337065    1.2789210    1.8340107
 251  0.4880930    0.1186813    0.7674348    0.5351428    1.2784676    1.8334181
