# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
  1976.58 1.4526e-14   1981.53 0 
  1985.70 1.4032e-14   1990.67 0 
  1994.87 1.3681e-14   1999.86 0 
  2004.07 1.3745e-14   2009.09 0 
  2013.32 1.3587e-14   2018.37 0 
  2027.28 1.3619e-14   2032.36 0 
  2036.64 1.3066e-14   2041.74 0 
  2046.04 1.2976e-14   2051.16 0 
  2055.48 1.1275e-14   2060.63 0 
  2064.97 1.1861e-14   2070.14 0 
  2074.50 1.2857e-14   2079.70 0 
  2079.28 1.2420e-14   2084.49 0 
  2084.08 1.2478e-14   2089.30 0 
  2093.70 1.2082e-14   2098.94 0 
  2103.36 1.2138e-14   2108.63 0 
  2113.07 1.2110e-14   2118.36 0 
  2122.82 1.1999e-14   2128.14 0 
  2132.62 1.1780e-14   2137.96 0 
  2147.40 1.1511e-14   2152.78 0 
  2157.31 1.1591e-14   2162.72 0 
  2167.27 1.1301e-14   2172.70 0 
  2177.28 1.1249e-14   2182.73 0 
  2187.33 1.1019e-14   2192.81 0 
  2197.42 1.1070e-14   2202.93 0 
  2202.49 1.0893e-14   2208.01 0 
  2212.65 1.0620e-14   2218.20 0 
  2222.87 1.0474e-14   2228.44 0 
  2233.13 1.0402e-14   2238.72 0 
  2243.43 1.0260e-14   2249.05 0 
  2253.79 1.0026e-14   2259.44 0 
  2264.19 1.0026e-14   2269.86 0 
  2274.64 9.9341e-15   2280.34 0 
  2285.14 9.7979e-15   2290.87 0 
  2295.69 9.4247e-15   2301.44 0 
  2306.29 9.4463e-15   2312.07 0 
  2316.93 9.3597e-15   2322.74 0 
  2327.63 8.7350e-15   2333.46 0 
  2332.99 9.0942e-15   2338.84 0 
  2343.76 9.0109e-15   2349.63 0 
  2354.58 8.9697e-15   2360.48 0 
  2365.45 8.8264e-15   2371.37 0 
  2376.37 8.7457e-15   2382.32 0 
  2387.34 8.4881e-15   2393.32 0 
  2392.84 8.5373e-15   2398.83 0 
  2403.88 8.4399e-15   2409.91 0 
  2414.98 8.3821e-15   2421.03 0 
  2426.13 8.3633e-15   2432.20 0 
  2437.33 8.2111e-15   2443.43 0 
  2442.94 8.1830e-15   2449.06 0 
  2454.22 8.1085e-15   2460.37 0 
  2465.55 8.0163e-15   2471.72 0 
  2476.93 7.9251e-15   2483.13 0 
  2482.64 7.8437e-15   2488.86 0 
  2494.10 7.0235e-15   2500.35 0 
  2505.61 7.6841e-15   2511.89 0 
  2511.39 7.3302e-15   2517.68 0 
  2517.17 7.5272e-15   2523.48 0 
