# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
  2575.21 3.3129e-15   2654.61 0 
  2587.10 3.2766e-15   2666.86 0 
  2593.06 3.2324e-15   2673.01 0 
  2605.03 3.1171e-15   2685.34 0 
  2617.05 3.0758e-15   2697.74 0 
  2623.09 3.2290e-15   2703.96 0 
  2635.19 3.3212e-15   2716.44 0 
  2647.36 3.6018e-15   2728.98 0 
  2653.46 3.6528e-15   2735.27 0 
  2665.71 3.3178e-15   2747.89 0 
  2678.01 3.4839e-15   2760.58 0 
  2684.19 3.4609e-15   2766.94 0 
  2696.58 3.3221e-15   2779.71 0 
  2702.79 3.4160e-15   2786.12 0 
  2715.27 3.2490e-15   2798.98 0 
  2727.80 3.2582e-15   2811.90 0 
  2734.09 3.4284e-15   2818.38 0 
  2746.71 2.9738e-15   2831.39 0 
  2753.04 3.0369e-15   2837.92 0 
  2765.75 3.1453e-15   2851.02 0 
  2772.12 3.3020e-15   2857.59 0 
  2784.92 3.1405e-15   2870.78 0 
  2797.77 2.5424e-15   2884.03 0 
  2804.22 2.7375e-15   2890.68 0 
  2817.17 3.2854e-15   2904.02 0 
  2823.66 3.4332e-15   2910.72 0 
  2836.69 3.2956e-15   2924.15 0 
  2843.23 3.2289e-15   2930.89 0 
  2856.36 3.1354e-15   2944.42 0 
  2862.94 3.4152e-15   2951.21 0 
  2876.16 3.3857e-15   2964.83 0 
  2882.79 3.3866e-15   2971.67 0 
  2896.09 3.3497e-15   2985.38 0 
  2909.46 3.6162e-15   2999.16 0 
  2929.63 3.4883e-15   3019.95 0 
  2949.94 3.4433e-15   3040.89 0 
  2970.38 3.5103e-15   3061.96 0 
  2990.97 3.5132e-15   3083.19 0 
  3011.71 3.5652e-15   3104.56 0 
  3032.58 3.5518e-15   3126.08 0 
  3046.58 3.5457e-15   3140.51 0 
  3067.70 3.5570e-15   3162.28 0 
