#Wavelength    ReadNoise      Sky           Dark          A_Eff        BEF           Disp_Width    XDisp_Width
#(Angstroms) (Cnt/Exposure) (Cnt/s/res)   (Cnt/s/res)      (cm^2)  (Erg/cm^2/s/res)   (N_resels)     (N_resels)
2007.5775          9.00      5.50e-10      1.39e-06     20902.8      6.58e-22         1.62         1.72
2007.6471          9.00      5.52e-10      1.39e-06     20918.6      6.58e-22         1.62         1.72
2007.7166          9.00      5.53e-10      1.39e-06     20934.4      6.57e-22         1.62         1.72
2007.7861          9.00      5.54e-10      1.39e-06     20950.2      6.57e-22         1.62         1.72
2007.8556          9.00      5.55e-10      1.39e-06     20965.9      6.56e-22         1.62         1.72
2007.9252          9.00      5.57e-10      1.39e-06     20981.7      6.56e-22         1.62         1.72
2007.9946          9.00      5.58e-10      1.39e-06     20997.5      6.55e-22         1.62         1.72
2008.0642          9.00      5.59e-10      1.39e-06     21013.4      6.55e-22         1.62         1.72
2008.1337          9.00      5.61e-10      1.39e-06     21029.3      6.54e-22         1.62         1.72
2008.2032          9.00      5.62e-10      1.39e-06     21045.2      6.54e-22         1.62         1.72
2008.2727          9.00      5.63e-10      1.39e-06     21061.1      6.53e-22         1.62         1.72
2008.3423          9.00      5.64e-10      1.39e-06     21077.0      6.52e-22         1.62         1.72
2008.4117          9.00      5.65e-10      1.39e-06     21092.9      6.52e-22         1.62         1.72
2008.4813          9.00      5.67e-10      1.39e-06     21108.8      6.51e-22         1.62         1.72
2008.5508          9.00      5.68e-10      1.39e-06     21124.7      6.51e-22         1.62         1.72
2008.6204          9.00      5.69e-10      1.39e-06     21140.6      6.50e-22         1.62         1.72
2008.6898          9.00      5.70e-10      1.39e-06     21156.5      6.50e-22         1.62         1.72
2008.7594          9.00      5.72e-10      1.39e-06     21172.4      6.49e-22         1.62         1.72
2008.8289          9.00      5.73e-10      1.39e-06     21188.3      6.49e-22         1.62         1.72
2008.8984          9.00      5.74e-10      1.39e-06     21204.2      6.48e-22         1.62         1.72
2008.9679          9.00      5.75e-10      1.39e-06     21220.1      6.48e-22         1.62         1.72
2009.0375          9.00      5.77e-10      1.39e-06     21236.0      6.47e-22         1.62         1.72
2009.1069          9.00      5.78e-10      1.39e-06     21252.1      6.47e-22         1.62         1.72
2009.1765          9.00      5.79e-10      1.39e-06     21268.1      6.46e-22         1.62         1.72
2009.2460          9.00      5.80e-10      1.39e-06     21284.1      6.46e-22         1.62         1.72
2009.3156          9.00      5.82e-10      1.39e-06     21300.2      6.45e-22         1.62         1.72
2009.3850          9.00      5.83e-10      1.39e-06     21316.2      6.45e-22         1.62         1.72
2009.4546          9.00      5.84e-10      1.39e-06     21332.2      6.44e-22         1.62         1.72
2009.5240          9.00      5.85e-10      1.39e-06     21348.2      6.44e-22         1.62         1.72
2009.5936          9.00      5.87e-10      1.39e-06     21364.3      6.43e-22         1.62         1.72
2009.6631          9.00      5.88e-10      1.39e-06     21380.3      6.43e-22         1.62         1.72
2009.7327          9.00      5.89e-10      1.39e-06     21396.4      6.42e-22         1.62         1.72
2009.8021          9.00      5.90e-10      1.39e-06     21412.4      6.42e-22         1.62         1.72
2009.8717          9.00      5.91e-10      1.39e-06     21428.4      6.41e-22         1.62         1.71
2009.9412          9.00      5.92e-10      1.39e-06     21444.4      6.41e-22         1.62         1.71
2010.0107          9.00      5.93e-10      1.39e-06     21460.5      6.40e-22         1.62         1.71
2010.0802          9.00      5.94e-10      1.39e-06     21476.5      6.40e-22         1.62         1.71
2010.1498          9.00      5.95e-10      1.39e-06     21492.5      6.39e-22         1.62         1.71
2010.2192          9.00      5.96e-10      1.39e-06     21508.5      6.39e-22         1.62         1.71
2010.2888          9.00      5.97e-10      1.39e-06     21524.6      6.38e-22         1.62         1.71
2010.3583          9.00      5.98e-10      1.39e-06     21540.6      6.38e-22         1.62         1.71
2010.4279          9.00      5.99e-10      1.39e-06     21556.6      6.37e-22         1.62         1.71
2010.4973          9.00      6.00e-10      1.39e-06     21572.6      6.37e-22         1.62         1.71
2010.5669          9.00      6.01e-10      1.39e-06     21588.7      6.36e-22         1.62         1.71
2010.6364          9.00      6.02e-10      1.39e-06     21604.7      6.36e-22         1.62         1.71
2010.7059          9.00      6.03e-10      1.39e-06     21620.7      6.35e-22         1.62         1.71
2010.7754          9.00      6.04e-10      1.39e-06     21636.7      6.35e-22         1.62         1.71
2010.8450          9.00      6.05e-10      1.39e-06     21652.8      6.34e-22         1.62         1.71
2010.9144          9.00      6.07e-10      1.39e-06     21668.8      6.34e-22         1.62         1.71
2010.9840          9.00      6.08e-10      1.39e-06     21684.8      6.33e-22         1.62         1.71
2011.0535          9.00      6.09e-10      1.39e-06     21700.9      6.33e-22         1.62         1.71
2011.1230          9.00      6.10e-10      1.39e-06     21717.1      6.32e-22         1.62         1.71
2011.1925          9.00      6.11e-10      1.39e-06     21733.2      6.32e-22         1.62         1.71
2011.2621          9.00      6.12e-10      1.39e-06     21749.4      6.31e-22         1.62         1.71
2011.3315          9.00      6.12e-10      1.39e-06     21765.5      6.31e-22         1.62         1.71
2011.4011          9.00      6.13e-10      1.39e-06     21781.7      6.30e-22         1.62         1.71
2011.4706          9.00      6.14e-10      1.39e-06     21797.8      6.30e-22         1.62         1.71
2011.5402          9.00      6.15e-10      1.39e-06     21814.0      6.29e-22         1.62         1.71
2011.6096          9.00      6.16e-10      1.39e-06     21830.1      6.29e-22         1.62         1.71
2011.6792          9.00      6.16e-10      1.39e-06     21846.3      6.28e-22         1.62         1.71
2011.7487          9.00      6.17e-10      1.39e-06     21862.4      6.28e-22         1.62         1.71
2011.8182          9.00      6.18e-10      1.39e-06     21878.6      6.28e-22         1.62         1.71
2011.8877          9.00      6.19e-10      1.39e-06     21894.7      6.27e-22         1.62         1.71
2011.9573          9.00      6.19e-10      1.39e-06     21910.9      6.27e-22         1.62         1.71
2012.0267          9.00      6.20e-10      1.39e-06     21927.1      6.26e-22         1.62         1.71
2012.0963          9.00      6.21e-10      1.39e-06     21943.3      6.26e-22         1.62         1.71
2012.1658          9.00      6.22e-10      1.39e-06     21959.6      6.25e-22         1.62         1.71
2012.2354          9.00      6.23e-10      1.39e-06     21975.9      6.25e-22         1.62         1.71
2012.3048          9.00      6.23e-10      1.39e-06     21992.2      6.24e-22         1.62         1.71
2012.3744          9.00      6.24e-10      1.39e-06     22008.4      6.24e-22         1.62         1.70
2012.4438          9.00      6.25e-10      1.39e-06     22024.7      6.23e-22         1.62         1.70
2012.5134          9.00      6.26e-10      1.39e-06     22041.0      6.23e-22         1.62         1.70
2012.5829          9.00      6.27e-10      1.39e-06     22057.3      6.22e-22         1.62         1.70
2012.6525          9.00      6.27e-10      1.39e-06     22073.5      6.22e-22         1.62         1.70
2012.7219          9.00      6.28e-10      1.39e-06     22089.8      6.21e-22         1.62         1.70
2012.7915          9.00      6.29e-10      1.39e-06     22106.1      6.21e-22         1.62         1.70
2012.8610          9.00      6.30e-10      1.39e-06     22122.4      6.20e-22         1.62         1.70
2012.9305          9.00      6.30e-10      1.39e-06     22138.6      6.20e-22         1.62         1.70
2013.0000          9.00      6.31e-10      1.39e-06     22154.9      6.19e-22         1.62         1.70
2013.0696          9.00      6.31e-10      1.39e-06     22171.3      6.19e-22         1.62         1.70
2013.1390          9.00      6.32e-10      1.39e-06     22187.7      6.18e-22         1.62         1.70
2013.2085          9.00      6.33e-10      1.39e-06     22204.1      6.18e-22         1.62         1.70
2013.2781          9.00      6.33e-10      1.39e-06     22220.5      6.17e-22         1.62         1.70
2013.3477          9.00      6.34e-10      1.39e-06     22236.9      6.17e-22         1.62         1.70
2013.4171          9.00      6.34e-10      1.39e-06     22253.3      6.16e-22         1.62         1.70
2013.4866          9.00      6.35e-10      1.39e-06     22269.7      6.16e-22         1.62         1.70
2013.5562          9.00      6.36e-10      1.39e-06     22286.1      6.16e-22         1.62         1.70
2013.6256          9.00      6.36e-10      1.39e-06     22302.5      6.15e-22         1.62         1.70
2013.6952          9.00      6.37e-10      1.39e-06     22318.9      6.15e-22         1.62         1.70
2013.7646          9.00      6.37e-10      1.39e-06     22335.3      6.14e-22         1.62         1.70
2013.8342          9.00      6.38e-10      1.39e-06     22351.7      6.14e-22         1.62         1.70
2013.9037          9.00      6.39e-10      1.39e-06     22368.1      6.13e-22         1.62         1.70
2013.9733          9.00      6.39e-10      1.39e-06     22384.5      6.13e-22         1.62         1.70
2014.0427          9.00      6.40e-10      1.39e-06     22401.0      6.12e-22         1.62         1.70
2014.1123          9.00      6.40e-10      1.39e-06     22417.5      6.12e-22         1.62         1.70
2014.1818          9.00      6.41e-10      1.39e-06     22434.0      6.11e-22         1.62         1.70
2014.2513          9.00      6.42e-10      1.39e-06     22450.6      6.11e-22         1.62         1.70
2014.3208          9.00      6.42e-10      1.39e-06     22467.1      6.10e-22         1.62         1.70
2014.3904          9.00      6.43e-10      1.39e-06     22483.6      6.10e-22         1.62         1.70
2014.4598          9.00      6.43e-10      1.39e-06     22500.2      6.09e-22         1.62         1.70
2014.5294          9.00      6.44e-10      1.39e-06     22516.7      6.09e-22         1.62         1.70
2014.5989          9.00      6.45e-10      1.39e-06     22533.2      6.08e-22         1.62         1.70
2014.6685          9.00      6.45e-10      1.39e-06     22549.8      6.08e-22         1.62         1.70
2014.7379          9.00      6.46e-10      1.39e-06     22566.3      6.08e-22         1.62         1.70
2014.8075          9.00      6.46e-10      1.39e-06     22582.8      6.07e-22         1.62         1.69
2014.8770          9.00      6.47e-10      1.39e-06     22599.3      6.07e-22         1.62         1.69
2014.9465          9.00      6.47e-10      1.39e-06     22615.9      6.06e-22         1.62         1.69
2015.0160          9.00      6.48e-10      1.39e-06     22632.4      6.06e-22         1.62         1.69
2015.0856          9.00      6.48e-10      1.39e-06     22649.1      6.05e-22         1.62         1.69
2015.1550          9.00      6.49e-10      1.39e-06     22665.7      6.05e-22         1.62         1.69
2015.2246          9.00      6.49e-10      1.39e-06     22682.4      6.04e-22         1.62         1.69
2015.2941          9.00      6.50e-10      1.39e-06     22699.1      6.04e-22         1.62         1.69
2015.3636          9.00      6.50e-10      1.39e-06     22715.7      6.03e-22         1.62         1.69
2015.4331          9.00      6.51e-10      1.39e-06     22732.4      6.03e-22         1.62         1.69
2015.5027          9.00      6.51e-10      1.39e-06     22749.0      6.02e-22         1.62         1.69
2015.5721          9.00      6.52e-10      1.39e-06     22765.7      6.02e-22         1.62         1.69
2015.6417          9.00      6.52e-10      1.39e-06     22782.4      6.01e-22         1.62         1.69
2015.7112          9.00      6.53e-10      1.39e-06     22799.0      6.01e-22         1.62         1.69
2015.7808          9.00      6.53e-10      1.39e-06     22815.7      6.01e-22         1.62         1.69
2015.8502          9.00      6.54e-10      1.39e-06     22832.3      6.00e-22         1.62         1.69
2015.9198          9.00      6.55e-10      1.39e-06     22849.0      6.00e-22         1.62         1.69
2015.9893          9.00      6.55e-10      1.39e-06     22865.6      5.99e-22         1.62         1.69
2016.0588          9.00      6.56e-10      1.39e-06     22882.4      5.99e-22         1.62         1.69
2016.1283          9.00      6.56e-10      1.39e-06     22899.2      5.98e-22         1.62         1.69
2016.1979          9.00      6.57e-10      1.39e-06     22916.0      5.98e-22         1.62         1.69
2016.2673          9.00      6.57e-10      1.39e-06     22932.8      5.97e-22         1.62         1.69
2016.3369          9.00      6.57e-10      1.39e-06     22949.6      5.97e-22         1.62         1.69
2016.4064          9.00      6.58e-10      1.39e-06     22966.3      5.96e-22         1.62         1.69
2016.4760          9.00      6.58e-10      1.39e-06     22983.1      5.96e-22         1.61         1.69
2016.5454          9.00      6.59e-10      1.39e-06     22999.9      5.96e-22         1.61         1.69
2016.6150          9.00      6.59e-10      1.39e-06     23016.7      5.95e-22         1.61         1.69
2016.6844          9.00      6.60e-10      1.39e-06     23033.5      5.95e-22         1.61         1.69
2016.7540          9.00      6.60e-10      1.39e-06     23050.3      5.94e-22         1.61         1.69
2016.8235          9.00      6.61e-10      1.39e-06     23067.1      5.94e-22         1.61         1.69
2016.8931          9.00      6.61e-10      1.39e-06     23083.9      5.93e-22         1.61         1.69
2016.9625          9.00      6.62e-10      1.39e-06     23100.6      5.93e-22         1.61         1.69
2017.0321          9.00      6.62e-10      1.39e-06     23117.5      5.92e-22         1.61         1.69
2017.1016          9.00      6.63e-10      1.39e-06     23134.4      5.92e-22         1.61         1.69
2017.1711          9.00      6.63e-10      1.39e-06     23151.4      5.91e-22         1.61         1.69
2017.2406          9.00      6.64e-10      1.39e-06     23168.3      5.91e-22         1.61         1.69
2017.3102          9.00      6.64e-10      1.39e-06     23185.2      5.91e-22         1.61         1.68
2017.3796          9.00      6.65e-10      1.39e-06     23202.1      5.90e-22         1.61         1.68
2017.4492          9.00      6.65e-10      1.39e-06     23219.0      5.90e-22         1.61         1.68
2017.5187          9.00      6.66e-10      1.39e-06     23235.9      5.89e-22         1.61         1.68
2017.5883          9.00      6.66e-10      1.39e-06     23252.9      5.89e-22         1.61         1.68
2017.6577          9.00      6.66e-10      1.39e-06     23269.8      5.88e-22         1.61         1.68
2017.7273          9.00      6.67e-10      1.39e-06     23286.7      5.88e-22         1.61         1.68
2017.7968          9.00      6.67e-10      1.39e-06     23303.6      5.87e-22         1.61         1.68
2017.8663          9.00      6.68e-10      1.39e-06     23320.6      5.87e-22         1.61         1.68
2017.9358          9.00      6.68e-10      1.39e-06     23337.5      5.87e-22         1.61         1.68
2018.0054          9.00      6.69e-10      1.39e-06     23354.4      5.86e-22         1.61         1.68
2018.0748          9.00      6.69e-10      1.39e-06     23371.5      5.86e-22         1.61         1.68
2018.1444          9.00      6.70e-10      1.39e-06     23388.5      5.85e-22         1.61         1.68
