#Wavelength    ReadNoise      Sky           Dark          A_Eff        BEF           Disp_Width    XDisp_Width
#(Angstroms) (Cnt/Exposure) (Cnt/s/res)   (Cnt/s/res)      (cm^2)  (Erg/cm^2/s/res)   (N_resels)     (N_resels)
1141.1765          0.00      1.28e-07      4.20e-06    105194.1      7.17e-22         2.61         3.38
1142.3529          0.00      1.32e-07      4.20e-06    105073.1      7.17e-22         2.61         3.38
1143.5294          0.00      1.37e-07      4.20e-06    104952.2      7.18e-22         2.61         3.37
1144.7058          0.00      1.41e-07      4.20e-06    104831.2      7.19e-22         2.61         3.37
1145.8823          0.00      1.46e-07      4.20e-06    104710.3      7.20e-22         2.61         3.37
1147.0588          0.00      1.51e-07      4.20e-06    104589.4      7.21e-22         2.61         3.36
1148.2354          0.00      1.56e-07      4.20e-06    104468.4      7.22e-22         2.61         3.36
1149.4117          0.00      1.62e-07      4.20e-06    104347.5      7.23e-22         2.61         3.36
1150.5883          0.00      1.68e-07      4.20e-06    104231.1      7.24e-22         2.60         3.35
1151.7646          0.00      1.74e-07      4.20e-06    104119.4      7.25e-22         2.60         3.35
1152.9412          0.00      1.80e-07      4.20e-06    104007.6      7.26e-22         2.60         3.35
1154.1177          0.00      1.87e-07      4.20e-06    103895.8      7.27e-22         2.60         3.34
1155.2941          0.00      1.95e-07      4.20e-06    103784.1      7.29e-22         2.60         3.34
1156.4706          0.00      2.02e-07      4.20e-06    103672.3      7.30e-22         2.60         3.34
1157.6471          0.00      2.11e-07      4.20e-06    103560.5      7.31e-22         2.60         3.33
1158.8235          0.00      2.20e-07      4.20e-06    103448.8      7.33e-22         2.60         3.33
1160.0000          0.00      2.29e-07      4.20e-06    103337.0      7.34e-22         2.60         3.32
1161.1765          0.00      2.39e-07      4.20e-06    103329.7      7.35e-22         2.60         3.32
1162.3529          0.00      2.50e-07      4.20e-06    103322.4      7.37e-22         2.60         3.32
1163.5294          0.00      2.62e-07      4.20e-06    103315.1      7.38e-22         2.60         3.31
1164.7058          0.00      2.74e-07      4.20e-06    103307.8      7.39e-22         2.60         3.31
1165.8823          0.00      2.88e-07      4.20e-06    103300.5      7.41e-22         2.60         3.31
1167.0588          0.00      3.02e-07      4.20e-06    103293.2      7.42e-22         2.59         3.30
1168.2354          0.00      3.17e-07      4.20e-06    103285.9      7.44e-22         2.59         3.30
1169.4117          0.00      3.34e-07      4.20e-06    103278.6      7.46e-22         2.59         3.30
1170.5883          0.00      3.52e-07      4.20e-06    103217.6      7.49e-22         2.59         3.29
1171.7646          0.00      3.71e-07      4.20e-06    103102.9      7.52e-22         2.59         3.29
1172.9412          0.00      3.91e-07      4.20e-06    102988.2      7.56e-22         2.59         3.29
1174.1177          0.00      4.14e-07      4.20e-06    102873.5      7.59e-22         2.59         3.28
1175.2941          0.00      4.38e-07      4.20e-06    102758.8      7.63e-22         2.59         3.28
1176.4706          0.00      4.65e-07      4.20e-06    102644.1      7.68e-22         2.59         3.28
1177.6471          0.00      4.94e-07      4.20e-06    102529.4      7.73e-22         2.59         3.27
1178.8235          0.00      5.26e-07      4.20e-06    102414.7      7.78e-22         2.59         3.27
1180.0000          0.00      5.61e-07      4.20e-06    102300.0      7.84e-22         2.59         3.27
1181.1765          0.00      5.99e-07      4.20e-06    101950.0      7.92e-22         2.59         3.26
1182.3529          0.00      6.40e-07      4.20e-06    101599.9      8.01e-22         2.59         3.26
1183.5294          0.00      6.86e-07      4.20e-06    101249.9      8.10e-22         2.59         3.25
1184.7058          0.00      7.37e-07      4.20e-06    100899.9      8.21e-22         2.58         3.25
1185.8823          0.00      7.95e-07      4.20e-06    100549.8      8.33e-22         2.58         3.25
1187.0588          0.00      8.59e-07      4.20e-06    100199.8      8.45e-22         2.58         3.24
1188.2354          0.00      9.32e-07      4.20e-06     99849.7      8.60e-22         2.58         3.24
1189.4117          0.00      1.01e-06      4.20e-06     99499.7      8.76e-22         2.58         3.24
1190.5883          0.00      1.11e-06      4.20e-06     99039.2      8.95e-22         2.58         3.23
1191.7646          0.00      1.21e-06      4.20e-06     98468.1      9.17e-22         2.58         3.23
1192.9412          0.00      1.34e-06      4.20e-06     97897.1      9.42e-22         2.58         3.23
1194.1177          0.00      1.48e-06      4.20e-06     97326.0      9.71e-22         2.58         3.22
1195.2941          0.00      1.65e-06      4.20e-06     96755.0      1.00e-21         2.58         3.22
1196.4706          0.00      1.84e-06      4.20e-06     96183.9      1.04e-21         2.58         3.22
1197.6471          0.00      2.08e-06      4.20e-06     95612.8      1.09e-21         2.58         3.21
1198.8235          0.00      2.37e-06      4.20e-06     95041.8      1.15e-21         2.58         3.21
1200.0000          0.00      2.72e-06      4.20e-06     94470.7      1.21e-21         2.58         3.21
1201.1765          0.00      3.17e-06      4.20e-06     93827.4      1.30e-21         2.58         3.20
1202.3529          0.00      3.73e-06      4.20e-06     93184.2      1.41e-21         2.58         3.20
1203.5294          0.00      4.45e-06      4.20e-06     92541.0      1.54e-21         2.57         3.20
1204.7058          0.00      5.42e-06      4.20e-06     91897.8      1.73e-21         2.57         3.19
1205.8823          0.00      6.76e-06      4.20e-06     91254.5      1.98e-21         2.57         3.19
1207.0588          0.00      8.67e-06      4.20e-06     90611.2      2.34e-21         2.57         3.19
1208.2352          0.00      1.16e-05      4.20e-06     89968.0      2.88e-21         2.57         3.19
1209.4117          0.00      1.62e-05      4.20e-06     89324.7      3.75e-21         2.57         3.18
1210.5883          0.00      2.43e-05      4.20e-06     88683.5      5.28e-21         2.57         3.18
1211.7646          0.00      4.07e-05      4.20e-06     88044.2      8.37e-21         2.57         3.18
1212.9412          0.00      8.22e-05      4.20e-06     87405.0      1.62e-20         2.57         3.18
1214.1177          0.00      2.46e-04      4.20e-06     86765.7      4.72e-20         2.57         3.17
1215.2941          0.00      3.03e-03      4.20e-06     86126.5      5.76e-19         2.57         3.17
1216.4706          0.00      9.80e-04      4.20e-06     85487.2      1.88e-19         2.57         3.17
1217.6471          0.00      1.60e-04      4.20e-06     84847.9      3.16e-20         2.57         3.16
1218.8235          0.00      6.21e-05      4.20e-06     84208.7      1.28e-20         2.57         3.16
1220.0000          0.00      3.26e-05      4.20e-06     83569.4      7.17e-21         2.57         3.16
1221.1765          0.00      2.00e-05      4.20e-06     82938.7      4.75e-21         2.57         3.16
1222.3529          0.00      1.35e-05      4.20e-06     82308.1      3.49e-21         2.57         3.15
1223.5294          0.00      9.65e-06      4.20e-06     81677.4      2.76e-21         2.57         3.15
1224.7058          0.00      7.25e-06      4.20e-06     81046.8      2.29e-21         2.57         3.15
1225.8823          0.00      5.63e-06      4.20e-06     80416.1      1.98e-21         2.57         3.15
1227.0588          0.00      4.49e-06      4.20e-06     79785.4      1.77e-21         2.56         3.14
1228.2352          0.00      3.66e-06      4.20e-06     79154.7      1.61e-21         2.56         3.14
1229.4117          0.00      3.04e-06      4.20e-06     78524.0      1.49e-21         2.56         3.14
1230.5883          0.00      2.56e-06      4.20e-06     77901.4      1.40e-21         2.56         3.13
1231.7646          0.00      2.19e-06      4.20e-06     77286.8      1.33e-21         2.56         3.13
1232.9412          0.00      1.88e-06      4.20e-06     76672.1      1.28e-21         2.56         3.13
1234.1177          0.00      1.64e-06      4.20e-06     76057.5      1.24e-21         2.56         3.13
1235.2941          0.00      1.44e-06      4.20e-06     75442.9      1.20e-21         2.56         3.12
1236.4706          0.00      1.27e-06      4.20e-06     74828.2      1.18e-21         2.56         3.12
1237.6471          0.00      1.13e-06      4.20e-06     74213.5      1.15e-21         2.56         3.12
1238.8235          0.00      1.01e-06      4.20e-06     73599.0      1.14e-21         2.56         3.11
1240.0000          0.00      9.08e-07      4.20e-06     72984.3      1.12e-21         2.56         3.11
1241.1765          0.00      8.20e-07      4.20e-06     72363.7      1.11e-21         2.56         3.11
1242.3529          0.00      7.43e-07      4.20e-06     71743.2      1.10e-21         2.56         3.11
1243.5294          0.00      6.77e-07      4.20e-06     71122.6      1.10e-21         2.56         3.10
1244.7058          0.00      6.18e-07      4.20e-06     70502.0      1.09e-21         2.56         3.10
1245.8823          0.00      5.66e-07      4.20e-06     69881.4      1.09e-21         2.56         3.10
1247.0588          0.00      5.20e-07      4.20e-06     69260.8      1.09e-21         2.56         3.10
1248.2352          0.00      4.80e-07      4.20e-06     68640.3      1.09e-21         2.56         3.09
1249.4117          0.00      4.43e-07      4.20e-06     68019.7      1.09e-21         2.56         3.09
1250.5883          0.00      4.10e-07      4.20e-06     67391.9      1.09e-21         2.56         3.09
1251.7646          0.00      3.81e-07      4.20e-06     66756.9      1.09e-21         2.55         3.08
1252.9412          0.00      3.54e-07      4.20e-06     66121.9      1.09e-21         2.55         3.08
1254.1177          0.00      3.30e-07      4.20e-06     65486.9      1.10e-21         2.55         3.08
1255.2941          0.00      3.08e-07      4.20e-06     64852.0      1.10e-21         2.55         3.08
1256.4706          0.00      2.88e-07      4.20e-06     64217.0      1.11e-21         2.55         3.07
1257.6470          0.00      2.69e-07      4.20e-06     63582.0      1.11e-21         2.55         3.07
1258.8235          0.00      2.52e-07      4.20e-06     62947.0      1.12e-21         2.55         3.07
1260.0000          0.00      2.37e-07      4.20e-06     62312.0      1.12e-21         2.55         3.07
1261.1765          0.00      2.23e-07      4.20e-06     61667.7      1.13e-21         2.55         3.06
1262.3529          0.00      2.10e-07      4.20e-06     61023.4      1.14e-21         2.55         3.06
1263.5294          0.00      1.98e-07      4.20e-06     60379.0      1.15e-21         2.55         3.06
1264.7058          0.00      1.86e-07      4.20e-06     59734.8      1.15e-21         2.55         3.05
1265.8823          0.00      1.76e-07      4.20e-06     59090.4      1.16e-21         2.55         3.05
1267.0588          0.00      1.66e-07      4.20e-06     58446.1      1.17e-21         2.55         3.05
1268.2354          0.00      1.57e-07      4.20e-06     57801.7      1.18e-21         2.55         3.05
1269.4117          0.00      1.49e-07      4.20e-06     57157.5      1.19e-21         2.55         3.05
1270.5883          0.00      1.41e-07      4.20e-06     56534.6      1.20e-21         2.55         3.04
1271.7646          0.00      1.34e-07      4.20e-06     55933.3      1.21e-21         2.55         3.04
1272.9412          0.00      1.27e-07      4.20e-06     55331.9      1.22e-21         2.55         3.04
1274.1177          0.00      1.21e-07      4.20e-06     54730.6      1.23e-21         2.55         3.04
1275.2941          0.00      1.15e-07      4.20e-06     54129.2      1.24e-21         2.55         3.04
1276.4706          0.00      1.10e-07      4.20e-06     53527.9      1.25e-21         2.55         3.03
1277.6470          0.00      1.04e-07      4.20e-06     52926.6      1.27e-21         2.55         3.03
1278.8235          0.00      9.95e-08      4.20e-06     52325.2      1.28e-21         2.55         3.03
1280.0000          0.00      9.49e-08      4.20e-06     51723.8      1.29e-21         2.55         3.03
1281.1765          0.00      9.06e-08      4.20e-06     51179.3      1.30e-21         2.55         3.03
1282.3529          0.00      8.66e-08      4.20e-06     50634.8      1.31e-21         2.54         3.02
1283.5294          0.00      8.28e-08      4.20e-06     50090.3      1.32e-21         2.54         3.02
1284.7058          0.00      7.92e-08      4.20e-06     49545.9      1.34e-21         2.54         3.02
1285.8823          0.00      7.58e-08      4.20e-06     49001.3      1.35e-21         2.54         3.02
1287.0588          0.00      7.26e-08      4.20e-06     48456.8      1.36e-21         2.54         3.02
1288.2354          0.00      6.95e-08      4.20e-06     47912.3      1.38e-21         2.54         3.01
1289.4117          0.00      6.66e-08      4.20e-06     47367.9      1.39e-21         2.54         3.01
1290.5883          0.00      6.39e-08      4.20e-06     46852.3      1.40e-21         2.54         3.01
1291.7646          0.00      6.13e-08      4.20e-06     46365.7      1.41e-21         2.54         3.01
1292.9412          0.00      5.89e-08      4.20e-06     45879.0      1.43e-21         2.54         3.01
1294.1177          0.00      5.66e-08      4.20e-06     45392.4      1.44e-21         2.54         3.01
1295.2941          0.00      5.44e-08      4.20e-06     44905.8      1.45e-21         2.54         3.00
1296.4706          0.00      5.23e-08      4.20e-06     44419.1      1.47e-21         2.54         3.00
1297.6470          0.00      5.03e-08      4.20e-06     43932.5      1.48e-21         2.54         3.00
1298.8235          0.00      4.84e-08      4.20e-06     43445.9      1.50e-21         2.54         3.00
1300.0000          0.00      4.66e-08      4.20e-06     42959.2      1.51e-21         2.54         3.00
1301.1765          0.00      4.49e-08      4.20e-06     42530.8      1.52e-21         2.54         2.99
1302.3529          0.00      4.33e-08      4.20e-06     42102.4      1.54e-21         2.54         2.99
1303.5294          0.00      4.17e-08      4.20e-06     41673.9      1.55e-21         2.54         2.99
1304.7058          0.00      4.02e-08      4.20e-06     41245.5      1.57e-21         2.54         2.99
1305.8823          0.00      3.88e-08      4.20e-06     40817.1      1.58e-21         2.54         2.99
1307.0588          0.00      3.75e-08      4.20e-06     40388.7      1.60e-21         2.54         2.98
1308.2354          0.00      3.62e-08      4.20e-06     39960.2      1.61e-21         2.54         2.98
1309.4117          0.00      3.49e-08      4.20e-06     39531.8      1.63e-21         2.54         2.98
1310.5883          0.00      3.38e-08      4.20e-06     39141.1      1.64e-21         2.54         2.98
1311.7646          0.00      3.27e-08      4.20e-06     38788.1      1.65e-21         2.54         2.98
1312.9412          0.00      3.16e-08      4.20e-06     38435.1      1.67e-21         2.54         2.98
1314.1177          0.00      3.06e-08      4.20e-06     38082.1      1.68e-21         2.54         2.97
1315.2941          0.00      2.96e-08      4.20e-06     37729.2      1.69e-21         2.54         2.97
1316.4706          0.00      2.87e-08      4.20e-06     37376.2      1.71e-21         2.54         2.97
1317.6470          0.00      2.78e-08      4.20e-06     37023.2      1.72e-21         2.54         2.97
